               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10106,            0.028683,                   0,           0.0031373,             0.65574,             0.01689,           0.0054617,            0.078733,            0.015608,                   0,            0.070536,           0.0032738,           0.0032738
                   1,            0.068496,            0.026402,                   0,             0.53564,             0.55784,             0.58125,             0.21502,            0.053286,            0.012791,                   0,             0.04047,           0.0065417,           0.0065417
                   2,            0.058373,            0.021782,                   0,             0.52168,             0.46721,             0.47396,             0.18063,            0.055973,            0.010393,                   0,            0.010339,           0.0097437,           0.0097437
                   3,            0.052416,            0.020264,                   0,             0.69387,             0.66883,             0.72661,             0.35195,            0.044775,           0.0094376,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.048419,            0.017316,                   0,             0.85765,              0.7408,             0.84155,             0.38321,            0.041677,           0.0086246,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.042631,            0.015822,                   0,             0.75964,             0.79508,             0.83077,             0.35862,            0.038895,           0.0081296,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.040794,            0.015059,                   0,             0.89447,              0.7541,              0.8523,             0.45391,            0.034473,           0.0077756,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.038514,            0.014279,                   0,             0.84662,             0.87705,             0.88009,             0.53096,            0.030425,           0.0071529,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.03696,            0.014248,                   0,             0.91369,             0.78096,             0.89569,              0.5416,            0.030697,           0.0069251,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.035841,            0.013601,                   0,             0.86995,             0.86066,             0.91845,             0.59915,            0.029684,           0.0065161,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.034976,            0.014342,                   0,             0.88733,             0.86885,             0.89352,              0.4925,            0.032721,           0.0070833,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.034511,            0.013862,                   0,             0.87183,             0.86885,             0.90921,              0.5894,            0.027649,           0.0067368,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.032406,            0.013135,                   0,             0.89838,             0.89344,             0.92559,             0.60261,            0.026528,           0.0063399,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.033058,            0.013017,                   0,             0.84805,              0.8692,             0.90652,             0.58615,            0.028046,           0.0066237,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.033268,            0.012876,                   0,             0.87072,             0.86066,             0.90733,              0.6102,             0.02602,           0.0066174,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.030102,            0.011905,                   0,             0.87545,             0.89344,             0.90809,             0.63306,            0.025402,           0.0062281,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.030159,            0.012255,                   0,             0.85908,             0.79955,              0.8584,             0.54502,            0.030699,           0.0075719,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.029915,            0.012765,                   0,             0.83107,             0.91803,              0.9046,             0.64425,             0.02338,           0.0061668,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.030123,            0.011353,                   0,             0.88496,             0.94583,             0.92621,             0.66379,            0.023257,           0.0058537,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.029215,            0.012009,                   0,             0.89019,             0.93032,             0.92659,              0.6578,            0.023457,           0.0057844,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.027734,            0.011894,                   0,              0.8648,             0.90164,             0.92243,             0.66169,            0.022218,           0.0058646,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.029303,            0.012193,                   0,             0.87449,             0.91378,             0.93615,             0.64439,             0.02398,           0.0058972,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.027091,            0.011625,                   0,             0.88074,             0.88525,             0.92982,             0.63783,            0.023088,           0.0059737,                   0,            0.007921,            0.007921,            0.007921
                  23,             0.02852,            0.011253,                   0,             0.90272,             0.88525,             0.93737,             0.71202,             0.02088,           0.0058673,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.027172,            0.011725,                   0,             0.92469,             0.90583,             0.93866,             0.70246,            0.020965,           0.0054876,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.027764,            0.011411,                   0,             0.91154,             0.90164,             0.95313,             0.72183,             0.02013,           0.0054674,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.026071,            0.011733,                   0,             0.83355,             0.90303,             0.93286,             0.70565,            0.019864,           0.0058862,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.026319,            0.011112,                   0,             0.89759,             0.90164,             0.95139,             0.70284,            0.021378,           0.0055515,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.025421,            0.011172,                   0,             0.89092,             0.93725,             0.95199,             0.71663,            0.020513,           0.0052255,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.025621,            0.011091,                   0,             0.89137,             0.95082,             0.95969,             0.72243,            0.020151,           0.0053571,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.025075,            0.010814,                   0,             0.86799,              0.9162,             0.94501,             0.69773,            0.020928,           0.0053368,                   0,            0.007129,            0.007129,            0.007129
